stem,filename,date,brow_span_3d,brow_height_asym,eye_anchor_spacing_3d,eye_level_asym,brow_eye_left_3d,brow_eye_right_3d,brow_eye_asym,nose_ridge_length_3d,nose_base_width_3d,nose_axis_bend_3d,nose_base_asym,nose_projection_3d,midface_ratio,mouth_width_3d,mouth_height_3d,mouth_nose_offset,central_depth_contrast,geometry_anomaly_score,features_over_2_5mad,top_changed_features
2001_11_01__431490e159af,2001_11_01__431490e159af.png,2001-11-01,1.275472740394396,0.010392773784931308,1.310428377972919,0.013813418154323909,0.33537290636156897,0.3400061790930979,0.004633272731528915,0.8667951325488329,0.6006987171257374,0.02485713130183044,0.04551499118651112,0.5459176664502466,0.8478829217319088,1.5416923308527544,0.5500484034219332,0.07245007275213512,0.9294856536601696,5.239136413247677,8,nose_base_asym; mouth_height_3d; nose_axis_bend_3d; mouth_width_3d; mouth_nose_offset
2012_01_25_2__682dc53e8340,2012_01_25_2__682dc53e8340.png,2012-01-25,1.2756152546799282,0.03451592455533392,1.2805461387248533,0.059300048450938836,0.31439699170600355,0.35298139207047463,0.03858440036447108,0.913067404231821,0.5625696669741038,0.012548686326792506,0.058319769210533015,0.500676017401533,0.9546491061655605,1.3416844478787153,0.19009029211153772,0.04905093525016711,0.9172763186050634,3.190500039326193,1,nose_base_asym; mouth_nose_offset; mouth_height_3d; mouth_width_3d; nose_base_width_3d
2005_05_10__4cf472db10cb,2005_05_10__4cf472db10cb.png,2005-05-10,1.2141131369683118,0.018648517408416887,1.204302542067477,0.04285729060976917,0.34041634180684593,0.3780108623197992,0.037594520512953256,0.8905220674063581,0.484372780362615,0.013830191681858815,0.058374169622148545,0.4535796857426398,1.0124106480570525,1.0871723998736342,0.3142297370611298,0.038736785179987035,0.8917931106976112,3.096285780171293,1,nose_base_asym; mouth_width_3d; nose_base_width_3d; nose_axis_bend_3d; mouth_nose_offset
1999_08_12_2__f8d0dfc4ed4d,1999_08_12_2__f8d0dfc4ed4d.png,1999-08-12,1.2483176390222281,0.03702125039218784,1.2670900802609248,0.03038556339636045,0.36846808380793894,0.384555122928645,0.01608703912070608,0.891754478188502,0.5300368254965222,0.011905220217954718,0.06005310025517902,0.4671713292973609,0.9357085906850172,1.137506296750648,0.3275567873767724,0.039826621898474725,0.9247756633604725,3.045504566467917,1,nose_base_asym; eye_level_asym; brow_eye_left_3d; mouth_nose_offset; mouth_width_3d
2009_09_24__a781e62958f6,2009_09_24__a781e62958f6.png,2009-09-24,1.2295701106074117,0.022348841469608915,1.2257964604067837,0.028315202416920426,0.32743900429589906,0.34502703144742436,0.0175880271515253,0.8920659883462542,0.5215652108791687,0.010083460582711094,0.055655838976172,0.4597323176296456,1.0046210734265004,1.2534277007523411,0.3370422272911797,0.05537590056388124,0.9069527420895586,3.003973441694388,2,nose_base_asym; mouth_nose_offset; eye_level_asym; mouth_height_3d; midface_ratio
2004_09_28__a2845eed8e20,2004_09_28__a2845eed8e20.png,2004-09-28,1.233838531288691,0.047823667027391714,1.2421966142366587,0.04288424591749396,0.31023420123773643,0.32435436330664574,0.014120162068909314,0.884466108056918,0.5223778649283592,0.010217454970485589,0.05601137075369553,0.4592043925485107,0.9863481327202515,1.23746786615867,0.2888157292042436,0.044934590009514594,0.9067301600353326,2.9803902196755345,1,nose_base_asym; brow_height_asym; mouth_nose_offset; brow_eye_right_3d; brow_eye_asym
1999_12_19__268029ccb16b,1999_12_19__268029ccb16b.png,1999-12-19,1.2712338440844801,0.008686716708122932,1.303435912607232,0.040179171020882865,0.3116990599693678,0.34793256162464115,0.03623350165527334,0.8963450580821029,0.5641387976847447,0.010242210499584318,0.05418543294019083,0.49227714270899825,0.901621490624693,1.2479035440122903,0.34315197307098155,0.05219781606123457,0.8908211343607803,2.9606932539978836,1,nose_base_asym; mouth_nose_offset; midface_ratio; eye_anchor_spacing_3d; nose_base_width_3d
2011_12_09_2__8ba7e14bd2da,2011_12_09_2__8ba7e14bd2da.png,2011-12-09,1.2671200103077007,0.019863475928966312,1.2513022154640536,0.05357756864854357,0.3334354589505238,0.3795117370930304,0.04607627814250659,0.9019840537080889,0.5306341422430442,0.009988420080664053,0.059129766758736046,0.48172461554841806,0.9736024721315929,1.2633999619211451,0.26048797439344085,0.0640746138052456,0.9166935109893576,2.831842620698824,2,nose_base_asym; mouth_nose_offset; brow_eye_asym; brow_span_3d; central_depth_contrast
2010_06_28__80f5c9f5d085,2010_06_28__80f5c9f5d085.png,2010-06-28,1.2911454426931592,0.014175602062159287,1.2561423776429024,0.0545784925330941,0.38699932380478613,0.4598654162709114,0.07286609246612524,0.8913256722735815,0.506631759269647,0.014052410464535526,0.02766384615046355,0.4677454337832192,0.9199336355549694,1.2156755311665206,0.23106276122202885,0.026124516838852863,0.7929337007719068,2.7070645685530472,3,brow_eye_right_3d; central_depth_contrast; brow_eye_asym; nose_base_asym; brow_eye_left_3d
2003_01_10__23b16927f674,2003_01_10__23b16927f674.png,2003-01-10,1.2457595396368673,0.03235941208836235,1.2856225522103697,0.03265354626156691,0.3519306821183621,0.3599681077947287,0.008037425676366616,0.9135323674579642,0.6063206044229527,0.013999444659235197,0.01140647128897234,0.5629618653682792,0.9255176556433468,1.4373479137242775,0.2981582888356221,0.00025745130942446404,0.9874862760587207,2.6323318602970476,4,mouth_width_3d; nose_base_width_3d; nose_projection_3d; central_depth_contrast; nose_axis_bend_3d
2010_01_07__3de50bb92856,2010_01_07__3de50bb92856.png,2010-01-07,1.2392118104920415,0.004400205920481737,1.2371753422417242,0.062379851125485164,0.3891409853019008,0.45667221503540134,0.06753122973350056,0.8653021668149399,0.5305357031882756,0.007892051660308836,0.02370054278837544,0.4477115595514707,0.9252962117264482,1.1897121911468302,0.2540697012747485,0.021499907220816253,0.7645368223809237,2.6264324234485503,2,central_depth_contrast; brow_eye_right_3d; brow_eye_left_3d; brow_eye_asym; nose_base_asym
2008_01_07_2__023e25b824ac,2008_01_07_2__023e25b824ac.png,2008-01-07,1.2326694021818783,0.01647538719551056,1.2463793932797744,0.05254613191514668,0.3506833251985744,0.3980921375511524,0.04740881235257799,0.8924896181557389,0.5086654522910187,0.0126603939482773,0.05675268023276154,0.46797996584959933,0.9537302411269135,1.203104515497301,0.264902173479706,0.035994286167206666,0.9121814989199444,2.575399969164518,1,nose_base_asym; brow_eye_right_3d; mouth_nose_offset; nose_axis_bend_3d; brow_eye_asym
2006_04_24_2__d9392a8c6bb9,2006_04_24_2__d9392a8c6bb9.png,2006-04-24,1.2466319560757528,0.025385589664886132,1.26977219110746,0.030827585653332434,0.360620679839891,0.38264904918095816,0.022028369341067167,0.876841843569673,0.5091607660588039,0.012959080098116037,0.049788218387467206,0.46510749282202063,0.9243755485921069,1.2139678930061342,0.22948404412320256,0.04122440202461003,0.8953203604784269,2.5462473313269314,1,nose_base_asym; eye_level_asym; mouth_nose_offset; brow_eye_left_3d; nose_axis_bend_3d
2003_02_10_1__3769e8a139ff,2003_02_10_1__3769e8a139ff.png,2003-02-10,1.232597143388747,0.0376720692371072,1.2422761016445387,0.049546496372175564,0.34783109820668473,0.3765234300231534,0.028692331816468686,0.8908302758129557,0.5385867106185379,0.011111863338396477,0.05920009533229913,0.4654066304957821,0.9821088987258701,1.1852117329492275,0.26205522906489853,0.028472976119047547,0.9094506928904257,2.4993017069764005,1,nose_base_asym; brow_height_asym; nose_projection_3d; brow_eye_left_3d; mouth_nose_offset
