metric,description_ru,filename,date,value,robust_z,abs_robust_z
nose_base_asym,Смещение центральной точки основания носа,2003_08_04_5__ff990e8c18e9.png,2003-08-04,0.0635374359829112,9.745947285187787,9.745947285187787
nose_base_asym,Смещение центральной точки основания носа,2001_06_16_2__69d51850915d.png,2001-06-16,0.06176793454536135,9.38248436582235,9.38248436582235
nose_base_asym,Смещение центральной точки основания носа,2001_09_06_1__245c19779dd7.png,2001-09-06,0.0606697372051032,9.156910086616183,9.156910086616183
nose_base_asym,Смещение центральной точки основания носа,1999_08_12_2__f8d0dfc4ed4d.png,1999-08-12,0.06005310025517902,9.030250304797429,9.030250304797429
nose_base_asym,Смещение центральной точки основания носа,2003_02_10_1__3769e8a139ff.png,2003-02-10,0.05920009533229913,8.855039562989662,8.855039562989662
nose_base_asym,Смещение центральной точки основания носа,2011_12_09_2__8ba7e14bd2da.png,2011-12-09,0.059129766758736046,8.840593782884822,8.840593782884822
nose_base_asym,Смещение центральной точки основания носа,2008_02_14_3__d6f0e64ab9bf.png,2008-02-14,0.058425944260311724,8.69602572853693,8.69602572853693
nose_base_asym,Смещение центральной точки основания носа,2005_05_10__4cf472db10cb.png,2005-05-10,0.058374169622148545,8.68539100355929,8.68539100355929
nose_axis_bend_3d,Отклонение промежуточных точек спинки от прямой,2003_10_16__faa3a4aaff20.png,2003-10-16,0.030544608238057158,7.688126341260689,7.688126341260689
mouth_height_3d,Вертикальный размах губ,2001_11_01__431490e159af.png,2001-11-01,0.5500484034219332,5.912120975249899,5.912120975249899
nose_axis_bend_3d,Отклонение промежуточных точек спинки от прямой,2001_11_01__431490e159af.png,2001-11-01,0.02485713130183044,5.589388758600216,5.589388758600216
mouth_width_3d,Ширина рта,2001_11_01__431490e159af.png,2001-11-01,1.5416923308527544,4.977877990968245,4.977877990968245
mouth_height_3d,Вертикальный размах губ,2008_01_05__7cc5adb4554f.png,2008-01-05,0.5064746450753548,4.951462621809147,4.951462621809147
central_depth_contrast,Выступание носа относительно глазничной плоскости,2010_07_19__fc479667e703.png,2010-07-19,0.7349746141791504,-4.334719414113246,4.334719414113246
