stem,score106_coords,score134_coords,rank106,rank134,both_top25
2005_05_10__4cf472db10cb,8.880737752479442,8.712842414214803,29.0,26.0,False
2005_06_28__422c53a1b9ba,3.239495662500634,3.633998546571733,35.0,35.0,False
2005_07_25__d7f208557884,1.5584419996126608,1.7462522684788682,98.0,87.0,False
2005_08_26__13a78f673740,1.8206610393003888,2.1287202576043414,82.0,68.0,False
2005_09_03__e377b3477c75,2.5833256829155458,3.0552246874887263,48.0,40.0,False
2005_10_05__bce8361b3016,1.9023871979485736,1.8876572258084374,77.0,80.0,False
2005_10_25__348bc2e79c0e,1.8971239634783288,1.7315091958734847,79.0,88.0,False
2006_01_07__8b5e0825527e,1.1426084543763708,1.166880870476258,131.0,129.0,False
2006_04_24_2__d9392a8c6bb9,9.132580602511078,8.831366314446164,19.0,22.0,True
2006_06_02_2__458b8e8ca007,1.899130751585871,1.8159444549793622,78.0,84.0,False
2006_07_14__17aab6062ef7,2.2519620227021955,2.10129221862232,58.0,70.0,False
2006_07_15__1090d2b5f85f,0.9743160064607105,0.9794914643907516,141.0,142.0,False
2006_08_03__e6dd3fd0f342,1.6756484561514253,2.0147912690817855,91.0,76.0,False
2006_10_11__cb83f4b73aca,1.7009269496154562,1.8301470451334143,90.0,82.0,False
2006_11_10__6a4841acc11b,2.2122836751409833,2.5431262704556348,62.0,52.0,False
2006_12_21__4a0f42ab7782,2.433902064979974,2.4353904764387173,50.0,55.0,False
2007_01_01__2768afcf0ae7,1.393535562411133,1.5611850610299254,111.0,99.0,False
2007_01_15__38cac42dd463,1.534479273925602,1.5607767784914137,101.0,100.0,False
2007_03_14__84a9e9985ee5,1.7825837577956767,2.0393249188461673,84.0,74.0,False
2007_04_08__c233b8c9babd,9.072820139483266,8.826561387588331,23.0,23.0,True
2007_04_13__d0fcd06eb526,1.257838885246222,1.27916458957689,123.0,124.0,False
2007_08_02__5c6c7977163b,1.396175502207588,1.3908849394090237,110.0,114.0,False
2007_08_03_2__1cff200676db,2.4263604134244185,2.320053643106612,51.0,59.0,False
2007_09_07__d22877d53827,9.304417818287225,9.11826066949189,6.0,5.0,True
2007_09_13__b79f7e4fa307,2.2231130199249645,2.1706551371872136,61.0,66.0,False
2007_11_20__c27cb3b07a3c,2.5650870002826864,2.5864694633541365,49.0,50.0,False
2007_12_15__e21ff84a9a10,1.0472793941431877,0.9956562419899354,135.0,141.0,False
2007_12_30__bdd0bc1da63f,2.952394484136339,3.1526598113207647,38.0,39.0,False
2008_01_05__7cc5adb4554f,5.6661873186561245,6.245418120035605,34.0,34.0,False
2008_01_07_2__023e25b824ac,8.906267166126462,8.83987842824226,28.0,21.0,False
2008_01_07__8cdca7ad7769,1.93181384635574,1.8630922935573873,76.0,81.0,False
2008_01_12__0fa6831a685b,2.8347381481133334,2.7326275530710062,41.0,45.0,False
2008_02_01__1c9577a6c773,9.058473871770405,8.887578276712185,24.0,14.0,True
2008_02_12_2__5915242188c1,2.785956800124909,2.6828360642006768,42.0,47.0,False
2008_02_14_3__d6f0e64ab9bf,8.791969838534152,8.404787945133855,33.0,33.0,False
2008_02_29__d7c336b04f11,2.2445166885831096,1.9555683514198299,59.0,78.0,False
2008_03_02__0921b0aaaea1,0.8423610452921763,0.8688314349900546,144.0,144.0,False
2008_04_28__59ebffc06e1d,2.0711231547941096,2.0034426766427527,68.0,77.0,False
2008_05_14__8c59f8c2941d,1.7947016434411747,1.821697924236067,83.0,83.0,False
2008_06_26__bed71e0ccc74,1.3294437711016602,1.2934230090703602,118.0,123.0,False
2008_07_14__5a2af27b6bc8,1.4331508408216522,1.3725392882398622,108.0,116.0,False
2008_07_28__649a348723ff,1.487877595179114,1.501121265019369,103.0,105.0,False
2008_10_30__f32c7fd7c3c1,1.473584611441939,1.6480346930446046,105.0,95.0,False
2008_11_19__c68501438887,1.328651423711658,1.392020894193608,119.0,113.0,False
2008_12_04__a44ee4e0195d,8.945306054739373,8.726044560218343,26.0,25.0,False
2009_01_28__54256cf39c87,1.641626681322741,1.7221491181000192,93.0,89.0,False
2009_03_28__bad9e42a4be4,1.226268507838466,1.4850072599369417,125.0,108.0,False
2009_04_22__07d0c33f0411,2.326742662201797,2.635105892562261,53.0,49.0,False
2009_04_27__f9e5a1392d8e,0.924976065862032,0.9418913460373778,142.0,143.0,False
2009_06_03__4db76aa26c0a,2.0839002705677214,2.2731894971667446,67.0,60.0,False
2009_06_10__6294280d8f6b,1.4515922306813107,1.1200802700568886,107.0,133.0,False
2009_08_24__f8294b3bf327,1.0377832634289268,1.2072533915713726,137.0,126.0,False
