a_filename,b_filename,c_filename,a_date,b_date,c_date,d_ab,d_bc,d_ac,aba_score_geometry,return_features_count,return_features
2000_06_14__212639178b9b.png,2000_07_08__af2f680df36f.png,2000_07_23__5f52c4b8b456.png,2000-06-14,2000-07-08,2000-07-23,1.2254202920344353,1.7695185354073224,1.1300360102024178,0.367433403518461,5,mouth_height_3d; eye_anchor_spacing_3d; nose_ridge_length_3d; eye_level_asym; brow_span_3d
2003_05_27__2ae6d9853e43.png,2003_05_31__e9ac5dbfdd44.png,2003_06_01__f274abb4ab60.png,2003-05-27,2003-05-31,2003-06-01,0.9723560236583819,1.015687329515941,0.6297723948191919,0.36424928176796956,2,mouth_height_3d; nose_base_width_3d
2009_03_28__bad9e42a4be4.png,2009_04_22__07d0c33f0411.png,2009_04_27__f9e5a1392d8e.png,2009-03-28,2009-04-22,2009-04-27,0.7327968681239876,0.9235007902711412,0.46557033174898194,0.36257849744858245,3,nose_ridge_length_3d; brow_span_3d; central_depth_contrast
2008_11_19__c68501438887.png,2008_12_04__a44ee4e0195d.png,2009_01_28__54256cf39c87.png,2008-11-19,2008-12-04,2009-01-28,1.5253787880006464,1.4073562287011459,1.112808043836163,0.3535594645147331,4,central_depth_contrast; brow_height_asym; mouth_width_3d; mouth_nose_offset
2001_02_27__fb61b453ec73.png,2001_03_23__e0ecdfe4b1e3.png,2001_03_29__a39e57f1bc9a.png,2001-02-27,2001-03-23,2001-03-29,1.7112029787999938,1.2899510768340057,1.1519110798751662,0.3486659479418335,6,brow_eye_right_3d; nose_base_width_3d; brow_eye_left_3d; brow_eye_asym; eye_level_asym; mouth_width_3d
2001_09_06_1__245c19779dd7.png,2001_11_01__431490e159af.png,2001_11_05__b352749108db.png,2001-09-06,2001-11-01,2001-11-05,3.3366360119925536,3.4592035779619335,3.0878070671021973,0.3101127278750462,5,mouth_width_3d; eye_level_asym; brow_eye_asym; nose_projection_3d; eye_anchor_spacing_3d
2001_06_16__71d032996fa8.png,2001_09_06_1__245c19779dd7.png,2001_11_01__431490e159af.png,2001-06-16,2001-09-06,2001-11-01,2.7010203065978278,3.3366360119925536,2.713774595096902,0.30505356419828855,4,nose_base_width_3d; nose_ridge_length_3d; brow_eye_left_3d; eye_anchor_spacing_3d
2011_03_22__bc4246c3109c.png,2011_04_14__a8e0e9263ab9.png,2011_04_24__f6e7f77016ec.png,2011-03-22,2011-04-14,2011-04-24,1.3158346128676985,1.5327440304505813,1.1352458946826907,0.28904342697644925,5,brow_eye_right_3d; brow_height_asym; brow_eye_left_3d; mouth_height_3d; mouth_width_3d
2007_12_30__bdd0bc1da63f.png,2008_01_05__7cc5adb4554f.png,2008_01_07_2__023e25b824ac.png,2007-12-30,2008-01-05,2008-01-07,2.3441395707936956,3.7137485218723265,2.785985971997046,0.24295807433596517,5,mouth_height_3d; eye_level_asym; nose_axis_bend_3d; brow_height_asym; midface_ratio
2005_10_05__bce8361b3016.png,2005_10_25__348bc2e79c0e.png,2006_01_07__8b5e0825527e.png,2005-10-05,2005-10-25,2006-01-07,1.637363976766975,1.6262638106821907,1.4167599227497678,0.21505397097481516,3,nose_projection_3d; nose_base_width_3d; mouth_nose_offset
