stem,filename,date,brow_span_3d,brow_height_asym,eye_anchor_spacing_3d,eye_level_asym,brow_eye_left_3d,brow_eye_right_3d,brow_eye_asym,nose_ridge_length_3d,nose_base_width_3d,nose_axis_bend_3d,nose_base_asym,nose_projection_3d,midface_ratio,mouth_width_3d,mouth_height_3d,mouth_nose_offset,central_depth_contrast,geometry_anomaly_score,features_over_2_5mad,top_changed_features
1999_08_12_2__f8d0dfc4ed4d,1999_08_12_2__f8d0dfc4ed4d.png,1999-08-12,1.2483176390222281,0.03702125039218784,1.2670900802609248,0.03038556339636045,0.36846808380793894,0.384555122928645,0.01608703912070608,0.891754478188502,0.5300368254965222,0.011905220217954718,0.06005310025517902,0.4671713292973609,0.9357085906850172,1.137506296750648,0.3275567873767724,0.039826621898474725,0.9247756633604725,3.045504566467917,1,nose_base_asym; eye_level_asym; brow_eye_left_3d; mouth_nose_offset; mouth_width_3d
2001_02_27__fb61b453ec73,2001_02_27__fb61b453ec73.png,2001-02-27,1.2130478198245853,0.026713639669719846,1.2129950606326705,0.04644266210979531,0.3033273049287551,0.3351597191280115,0.03183241419925642,0.8702362368631889,0.5398490690988653,0.006807162578827212,0.014774013964217358,0.5047313699050691,0.9706370412103178,1.254776700765036,0.43843822851763814,0.012073771021080544,0.9031378662499776,1.550777636177888,1,mouth_height_3d; brow_span_3d; nose_axis_bend_3d; brow_eye_right_3d; brow_eye_left_3d
2001_03_23__e0ecdfe4b1e3,2001_03_23__e0ecdfe4b1e3.png,2001-03-23,1.249058108056712,0.016167109668736912,1.2259698197167914,0.05704006600487571,0.3759278852896903,0.4298687834189734,0.0539408981292831,0.8870258471415079,0.4806146486851459,0.010508923024471983,0.014448470571202326,0.49800326016719426,0.9671216048766783,1.185162125848094,0.26745495880480485,0.007120423618412509,0.9080110003872335,1.7025508434627405,0,brow_eye_right_3d; nose_base_width_3d; brow_eye_left_3d; brow_eye_asym; eye_level_asym
2001_03_29__a39e57f1bc9a,2001_03_29__a39e57f1bc9a.png,2001-03-29,1.2466166332007527,0.02191562224282817,1.2476817596104204,0.04611990073155847,0.3222527193819921,0.3581992730875991,0.035946553705606954,0.9017165198199656,0.5384152705678814,0.00787259229193039,0.015781736877761368,0.5356071268056859,0.960386305685063,1.3126345789717844,0.2749560815451513,0.017455413311493806,0.9379682272183114,1.114462630390883,0,nose_projection_3d; mouth_width_3d; central_depth_contrast; nose_axis_bend_3d; nose_ridge_length_3d
2001_04_14__1e62238ac16a,2001_04_14__1e62238ac16a.png,2001-04-14,1.2443160283435817,0.007621017739738001,1.2351578378064445,0.042946103482921716,0.31286990719206675,0.3668063396484186,0.053936432456351824,0.9020074618564723,0.5138151797842654,0.00918770413786658,0.015668664243604122,0.522577218899043,0.9782975392777916,1.1990062476804877,0.32964518061379267,0.03938514497029737,0.9250083957633206,1.2618544148922346,0,mouth_nose_offset; brow_eye_asym; brow_height_asym; nose_projection_3d; mouth_height_3d
2001_06_16_2__69d51850915d,2001_06_16_2__69d51850915d.png,2001-06-16,1.259952203317799,0.05372777678509688,1.2508566711521611,0.032999488848470704,0.31724004962394076,0.3286104218093018,0.011370372185361022,0.9065346839577872,0.52400901456354,0.01406272476017059,0.06176793454536135,0.49628683369352267,0.9702219288246903,1.195975642007967,0.36770634117770973,0.05330003325389439,0.9252663627250823,3.609080289937283,2,nose_base_asym; brow_height_asym; mouth_nose_offset; mouth_height_3d; nose_axis_bend_3d
2001_06_16__71d032996fa8,2001_06_16__71d032996fa8.png,2001-06-16,1.319541074776486,0.02103348352520973,1.2999422128966414,0.0453850945423796,0.34903178770154464,0.37590447611561795,0.02687268841407331,0.879712967577281,0.5902779207626383,0.008184268575764563,0.03352979758232605,0.5061148996218517,0.9000842855488114,1.3475749486443032,0.3217988621739002,0.014908800998511579,0.8187224410825245,2.493102736678927,2,nose_base_asym; brow_span_3d; nose_base_width_3d; central_depth_contrast; mouth_width_3d
2001_09_06_1__245c19779dd7,2001_09_06_1__245c19779dd7.png,2001-09-06,1.248027866455701,0.02564692092890941,1.2548306971368528,0.05060676397512198,0.2812847974935408,0.3262908068865647,0.045006009393023905,0.9336635003174328,0.4874771335684695,0.013830557023951386,0.0606697372051032,0.4831716579327638,1.0247702893166981,1.2067150204608323,0.25419176114684905,0.06045597425668105,0.9618687476805066,3.6000277117093917,2,nose_base_asym; mouth_nose_offset; nose_ridge_length_3d; central_depth_contrast; brow_eye_left_3d
2001_11_01__431490e159af,2001_11_01__431490e159af.png,2001-11-01,1.275472740394396,0.010392773784931308,1.310428377972919,0.013813418154323909,0.33537290636156897,0.3400061790930979,0.004633272731528915,0.8667951325488329,0.6006987171257374,0.02485713130183044,0.04551499118651112,0.5459176664502466,0.8478829217319088,1.5416923308527544,0.5500484034219332,0.07245007275213512,0.9294856536601696,5.239136413247677,8,nose_base_asym; mouth_height_3d; nose_axis_bend_3d; mouth_width_3d; mouth_nose_offset
2001_11_05__b352749108db,2001_11_05__b352749108db.png,2001-11-05,1.2453396590965518,0.007705241123867612,1.2377871247558185,0.046277355947175636,0.3089812446964726,0.35445042776050734,0.045469183064034746,0.8493645346221171,0.5300553563431875,0.004426347937286142,0.012788949261602754,0.4827542425885498,0.9486798361536403,1.1783892538948708,0.4001234474221149,0.025789051550631607,0.8671143523189857,1.7318836685634964,1,mouth_height_3d; nose_ridge_length_3d; nose_axis_bend_3d; brow_height_asym; brow_eye_asym
2002_07_10__b381fac011aa,2002_07_10__b381fac011aa.png,2002-07-10,1.2054519174878686,0.02834791440841078,1.2110137305045956,0.052307383142111585,0.37297698291729164,0.4039214258682799,0.03094444295098825,0.8679296954194033,0.49077712942478513,0.009684196092325261,0.00935760614346614,0.466089774214126,0.98691338474345,1.2226605534229327,0.29724578997655826,0.005179704734967365,0.876718113541626,1.5161568382708794,0,brow_eye_left_3d; nose_base_width_3d; brow_eye_right_3d; brow_span_3d; nose_base_asym
2002_11_01__91b483a91623,2002_11_01__91b483a91623.png,2002-11-01,1.2519317026292296,0.04318156927082162,1.2617110394326965,0.0497824811310742,0.3263969931045195,0.340422106588486,0.014025113483966511,0.9130919923400547,0.5927632381112493,0.008633016997649757,0.019222893401803852,0.5430445536486809,0.9737327398487753,1.4160953644287557,0.3269313656002242,0.019926150503761744,0.9503183914234681,2.171407563719505,1,mouth_width_3d; nose_base_width_3d; nose_projection_3d; brow_height_asym; central_depth_contrast
2002_12_02__c759b9171ecc,2002_12_02__c759b9171ecc.png,2002-12-02,1.2767393857767475,0.015516267524938843,1.2903960616007386,0.035499382517477085,0.3271345399690294,0.3569840725620263,0.029849532592996886,0.8863664040299621,0.6011930789664957,0.013188149338145983,0.007743945878809069,0.5372866370003226,0.9166519125816258,1.3641261708924108,0.3021957334006241,0.003275391990975672,0.9120209066809511,1.9673638946446192,1,nose_base_width_3d; mouth_width_3d; nose_projection_3d; nose_base_asym; midface_ratio
2003_01_10__23b16927f674,2003_01_10__23b16927f674.png,2003-01-10,1.2457595396368673,0.03235941208836235,1.2856225522103697,0.03265354626156691,0.3519306821183621,0.3599681077947287,0.008037425676366616,0.9135323674579642,0.6063206044229527,0.013999444659235197,0.01140647128897234,0.5629618653682792,0.9255176556433468,1.4373479137242775,0.2981582888356221,0.00025745130942446404,0.9874862760587207,2.6323318602970476,4,mouth_width_3d; nose_base_width_3d; nose_projection_3d; central_depth_contrast; nose_axis_bend_3d
