photo_id,date,same_date_sequence,pose_bin,pitch,yaw,roll,source_filename,source_relative_path,date_provenance_status,exif_date,date_delta_days,source_claimed_date,source_claimed_delta_days,date_conflict_sources,source_provenance_status,source_url,archive_url,perceptual_dhash,near_duplicate_of,geometry_status,segmentation_status,uv_status,combined_visible_fraction,skin_mask_coverage,uv_observed_coverage,chronology_index_global,chronology_index_in_pose
2014_01_04__b299934314d0,2014-01-04,1,right_profile,-17.46729850769043,67.44265747070312,-13.29548454284668,2014_01_04.jpg,2014_01_04.jpg,filename_only,,,,,[],not_provided,,,c3f31c2e5e180932,,valid,valid,valid,0.49861379484163654,0.22888125,0.798035,902,133
2014_01_04_2__e455bc6bc82b,2014-01-04,2,right_profile,5.623785018920898,58.31624221801758,4.3429694175720215,2014_01_04 (2).jpg,2014_01_04 (2).jpg,filename_only,,,,,[],not_provided,,,4cc5c2c6ccce4879,,valid,valid,valid,0.5125598588591112,0.2919828125,0.798035,903,134
2014_01_07__9d3191137d25,2014-01-07,1,left_profile,2.326308488845825,-78.8757553100586,-4.560119152069092,2014_01_07.jpg,2014_01_07.jpg,filename_only,,,,,[],not_provided,,,0f1ac29084426709,,valid,valid,valid,0.47702259934470304,0.195234375,0.798035,904,134
2014_01_13__903631bbff55,2014-01-13,1,left_profile,12.190155982971191,-73.60865783691406,-2.8023602962493896,2014_01_13.jpg,2014_01_13.jpg,filename_only,,,,,[],not_provided,,,3a24409004002402,,valid,valid,valid,0.4815872749166877,0.2206625,0.798035,905,135
2014_01_16__f4727c233f5d,2014-01-16,1,right_light,18.05396842956543,12.647920608520508,0.07921674102544785,2014_01_16.jpg,2014_01_16.jpg,filename_only,,,,,[],not_provided,,,96963634142c3d98,,valid,valid,valid,0.6170153182671035,0.2790453125,0.798035,906,82
2014_01_17__b93a0c5ab22d,2014-01-17,1,frontal,17.055681228637695,3.8370652198791504,0.43785929679870605,2014_01_17.jpg,2014_01_17.jpg,filename_only,,,,,[],not_provided,,,964663c3e3c264b1,,valid,valid,valid,0.6567251953289087,0.2779484375,0.798035,907,285
2014_01_17_2__fe723839fb2b,2014-01-17,2,right_light,9.576763153076172,15.592901229858398,-0.05198894068598747,2014_01_17 (2).jpg,2014_01_17 (2).jpg,filename_only,,,,,[],not_provided,,,0783e36363436674,,valid,valid,valid,0.6565571704612283,0.2989578125,0.798035,908,83
2014_01_30__bc21115690f6,2014-01-30,1,left_profile,-4.596378803253174,-64.16108703613281,27.328296661376953,2014_01_30.jpg,2014_01_30.jpg,filename_only,,,,,[],not_provided,,,4d15840444506048,,valid,valid,valid,0.5083312330224873,0.2092453125,0.798035,909,136
2014_02_04__58ab22ba5ec0,2014-02-04,1,left_light,22.688262939453125,-22.46013641357422,-8.88277816772461,2014_02_04.jpg,2014_02_04.jpg,filename_only,,,,,[],not_provided,,,9e9e14351d1f1f0d,,valid,valid,valid,0.5976644543392422,0.2678390625,0.798035,910,120
2014_02_06__5c09c83e991d,2014-02-06,1,left_profile,14.622493743896484,-63.1234016418457,-12.709754943847656,2014_02_06.jpg,2014_02_06.jpg,filename_only,,,,,[],not_provided,,,1e335f81adc3c307,,valid,valid,valid,0.48626396706712594,0.2277015625,0.798035,911,137
2014_02_06_2__583b6a620963,2014-02-06,2,right_mid,21.798646926879883,32.0957145690918,1.43254816532135,2014_02_06 (2).jpg,2014_02_06 (2).jpg,filename_only,,,,,[],not_provided,,,1786e6c4dcdcc969,,valid,valid,valid,0.5785656277129015,0.274134375,0.798035,912,50
2014_02_07__ee3e8cc10a50,2014-02-07,1,left_light,16.306123733520508,-21.773963928222656,0.34282904863357544,2014_02_07.jpg,2014_02_07.jpg,filename_only,,,,,[],not_provided,,,252141d190c1c1cd,,valid,valid,valid,0.611414489344423,0.2940015625,0.798035,913,121
2014_02_15__ee0b854cbbaa,2014-02-15,1,left_deep,1.0263936519622803,-43.81206130981445,-5.388622760772705,2014_02_15.jpg,2014_02_15.jpg,filename_only,,,,,[],not_provided,,,93c1c484c480c1e1,,valid,valid,valid,0.5745330308885715,0.35219375,0.798035,914,32
2014_02_17__2dccee67276a,2014-02-17,1,right_mid,16.884952545166016,34.38151931762695,2.11238956451416,2014_02_17.jpg,2014_02_17.jpg,filename_only,,,,,[],not_provided,,,13091f2f2f3f1d0f,,valid,valid,valid,0.5824301996695511,0.3396734375,0.798035,915,51
2014_02_17_2__2638502aebc1,2014-02-17,2,right_profile,-7.029228687286377,64.95991516113281,-1.999390721321106,2014_02_17 (2).jpg,2014_02_17 (2).jpg,filename_only,,,,,[],not_provided,,,0e061e360f9d8de3,,valid,valid,valid,0.5024783667982862,0.2199140625,0.798035,916,135
2014_02_23__b8cdebbf61d7,2014-02-23,1,right_profile,5.929149627685547,75.31583404541016,7.701911926269531,2014_02_23.jpg,2014_02_23.jpg,filename_only,,,,,[],not_provided,,,6ff3eff7fa3c1d4d,,valid,valid,valid,0.4866560250917136,0.2516390625,0.798035,917,136
2014_03_05__69629d11d1ae,2014-03-05,1,frontal,15.654404640197754,8.881498336791992,0.20668834447860718,2014_03_05.jpg,2014_03_05.jpg,filename_only,,,,,[],not_provided,,,94606c68cacc6429,,valid,valid,valid,0.6433112100590888,0.313446875,0.798035,918,286
2014_03_07__45f690fed667,2014-03-07,1,right_profile,-39.88032531738281,59.3893928527832,-48.80027770996094,2014_03_07.jpg,2014_03_07.jpg,filename_only,,,,,[],not_provided,,,73f18927466e7879,,valid,valid,valid,0.5023103419306058,0.2957859375,0.798035,919,137
2014_03_08__a78518c90f36,2014-03-08,1,frontal,20.248743057250977,6.572493553161621,-14.304824829101562,2014_03_08.jpg,2014_03_08.jpg,filename_only,,,,,[],not_provided,,,9adb8fbb9b9f9f9b,,valid,valid,valid,0.607381892520093,0.28698194444444447,0.798035,920,287
2014_03_09__7ae0dc04ab96,2014-03-09,1,left_profile,0.4355272054672241,-58.39487075805664,-1.5391864776611328,2014_03_09.jpg,2014_03_09.jpg,filename_only,,,,,[],not_provided,,,47393f0385c16307,,valid,valid,valid,0.5138480495113277,0.2903640625,0.798035,921,138
